"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000056962","ENSMUSG00000056962","Jmjd6",0.0220271552811138,7.05251536588145,0.111316266332551,0.912337759955124,0.991432429581756,-6.89451247565713
"ENSMUSG00000025498","ENSMUSG00000025498","Irf7",0.0517647491290703,5.83584667386997,0.111214216798695,0.912417779299507,0.991432429581756,-6.06775613115134
"ENSMUSG00000023908","ENSMUSG00000023908","Pkmyt1",0.0383268854919621,5.16284928013135,0.111183904384394,0.912441548130737,0.991432429581756,-6.22107894300919
"ENSMUSG00000021238","ENSMUSG00000021238","Aldh6a1",-0.135615234495886,2.4588517560954,-0.111095257677616,0.912511059028988,0.991432429581756,-5.49638142234587
"ENSMUSG00000020309","ENSMUSG00000020309","Chac2",0.0757956754484641,2.49583882886118,0.110842134105512,0.91270954576132,0.991432429581756,-5.62210273265817
"ENSMUSG00000032525","ENSMUSG00000032525","Nktr",0.0198168736689572,7.35451331628827,0.110825297969832,0.912722748015553,0.991432429581756,-6.91529487911321
"ENSMUSG00000008763","ENSMUSG00000008763","Man1a2",-0.0246832494888558,6.3620999095466,-0.110799705881446,0.912742816402522,0.991432429581756,-6.66076288347593
"ENSMUSG00000029054","ENSMUSG00000029054","Gabrd",0.0710003440014801,-0.0986634700858268,0.110698588469552,0.912822109587887,0.991432429581756,-5.71740686372683
"ENSMUSG00000037032","ENSMUSG00000037032","Apbb1",0.0710003440014801,0.356380080959474,0.110644299055972,0.912864682069596,0.991432429581756,-5.71741247466284
"ENSMUSG00000054446","ENSMUSG00000054446","Cpa1",0.0710003440014801,0.153207468273242,0.110602544102929,0.912897425503557,0.991432429581756,-5.71741678826313
"ENSMUSG00000041846","ENSMUSG00000041846","Ppp4r3a",0.017854612555066,7.14262633801721,0.110548683022698,0.912939662563429,0.991432429581756,-6.89536278679035
"ENSMUSG00000019988","ENSMUSG00000019988","Nedd1",0.0500078831815047,4.59738698264039,0.110532795818803,0.912952121123086,0.991432429581756,-6.36355263429175
"ENSMUSG00000071054","ENSMUSG00000071054","Safb",0.0183956714707811,7.65830890827032,0.110502291264279,0.912976042502285,0.991432429581756,-6.98929808028411
"ENSMUSG00000035621","ENSMUSG00000035621","Midn",0.0698426572868418,2.45231858910748,0.110497134651348,0.91298008627702,0.991432429581756,-5.51302991026483
"ENSMUSG00000021033","ENSMUSG00000021033","Gstz1",-0.0570709525519173,3.60418232599883,-0.110467754701868,0.913003125844944,0.991432429581756,-5.79253498810155
"ENSMUSG00000025348","ENSMUSG00000025348","Itga7",0.0710003440014801,0.665821387499113,0.110335371279961,0.91310694104258,0.991432429581756,-5.71744435072873
