"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000037119","ENSMUSG00000037119","Fam91a1",0.115056352102532,6.16508303404678,0.356051941506944,0.72506859250736,0.982914618375091,-6.52684638808943
"ENSMUSG00000062270","ENSMUSG00000062270","Morf4l1",-0.0631340524255437,6.65448175119823,-0.355995472217133,0.725110313253635,0.982914618375091,-6.73437929613775
"ENSMUSG00000000538","ENSMUSG00000000538","Tom1l2",0.14929112879516,4.32033171549396,0.35598793374855,0.725115882904959,0.982914618375091,-6.13741688394749
"ENSMUSG00000069565","ENSMUSG00000069565","Dazap1",0.0998832216304004,6.09595341802786,0.355963198562869,0.725134158126196,0.982914618375091,-6.48812211032802
"ENSMUSG00000038080","ENSMUSG00000038080","Kdm1b",0.195951461022845,4.99894280046061,0.355777437028491,0.725271410588587,0.982914618375091,-6.32145719582799
"ENSMUSG00000061666","ENSMUSG00000061666","Gdpd1",0.37015592277561,0.157584195505582,0.355607809968651,0.725396750097783,0.982914618375091,-5.4151853229147
"ENSMUSG00000058756","ENSMUSG00000058756","Thra",-0.181618515334118,2.44683033397667,-0.355510710461524,0.725468501643563,0.982914618375091,-6.00072177847616
"ENSMUSG00000019528","ENSMUSG00000019528","Gyg",0.176006640693977,4.52821648003273,0.355491971977309,0.725482348716402,0.982914618375091,-6.33143690352856
"ENSMUSG00000048756","ENSMUSG00000048756","Foxo3",0.129228218744235,4.56874449430463,0.35537110677235,0.72557166610104,0.982914618375091,-6.25779698945354
"ENSMUSG00000029714","ENSMUSG00000029714","Gigyf1",-0.090771905778043,5.16464612878608,-0.355368781682861,0.725573384342709,0.982914618375091,-6.45468021905537
"ENSMUSG00000022962","ENSMUSG00000022962","Gart",-0.106983487228105,6.885771527874,-0.355333931295012,0.725599138963946,0.982914618375091,-6.50469750495877
"ENSMUSG00000001280","ENSMUSG00000001280","Sp1",0.0823948288002772,6.40465569419643,0.355244860253917,0.725664964439457,0.982914618375091,-6.71123129067495
"ENSMUSG00000034640","ENSMUSG00000034640","Tiparp",0.114853672962613,5.63619696303928,0.355244291115165,0.725665385052574,0.982914618375091,-6.46058720299086
"ENSMUSG00000026885","ENSMUSG00000026885","Ttll11",-0.281998936268577,1.5186961197954,-0.355107865703272,0.725766210671607,0.982914618375091,-5.40759072833581
"ENSMUSG00000025731","ENSMUSG00000025731","Mettl26",0.0833926275218042,5.87419549128157,0.354912568699407,0.725910554345552,0.982914618375091,-6.51101143062471
"ENSMUSG00000025509","ENSMUSG00000025509","Pnpla2",-0.0783758991785373,6.48602804763968,-0.354742430338297,0.72603631177606,0.982914618375091,-6.6982852388718
"ENSMUSG00000033845","ENSMUSG00000033845","Mrpl15",-0.068721106238768,7.04600692229246,-0.354688562904157,0.726076129425022,0.982914618375091,-6.68635549825679
"ENSMUSG00000025736","ENSMUSG00000025736","Jmjd8",0.153274623917703,4.09512257004907,0.354629120849916,0.726120068629823,0.982914618375091,-5.87965115671586
"ENSMUSG00000112023","ENSMUSG00000112023","Lilr4b",-0.465065743053425,3.62788759116884,-0.354528516905398,0.726194436644112,0.982914618375091,-5.45113193333589
"ENSMUSG00000037007","ENSMUSG00000037007","Zfp113",0.36291781293432,1.9313548018978,0.354268446112868,0.726386697812284,0.982914618375091,-5.5098220080409
"ENSMUSG00000002781","ENSMUSG00000002781","Tmem143",-0.271492178535049,1.50585382839858,-0.354079064934437,0.726526712212525,0.982914618375091,-5.50287034531535
"ENSMUSG00000050106","ENSMUSG00000050106","Tmc8",-0.0704145393399935,5.91803221210066,-0.354058159615078,0.726542168652893,0.982914618375091,-6.6910120232224
"ENSMUSG00000041406","ENSMUSG00000041406","BC055324",-0.356054876608956,1.92743863006896,-0.353836383252149,0.726706147299678,0.982914618375091,-5.41890111560794
"ENSMUSG00000038319","ENSMUSG00000038319","Kcnh2",-0.237423343921837,1.63308165489447,-0.353827591719729,0.72671264792323,0.982914618375091,-5.70478184748257
"ENSMUSG00000042851","ENSMUSG00000042851","Zc3h6",-0.215985070802232,1.63542679248866,-0.353824497263843,0.726714936026801,0.982914618375091,-5.75820661609935
"ENSMUSG00000032812","ENSMUSG00000032812","Arap1",0.0812162144404107,6.18792062435228,0.353775035434614,0.726751509461536,0.982914618375091,-6.74583982769235
"ENSMUSG00000054008","ENSMUSG00000054008","Ndst1",0.206626561520486,4.35132239624299,0.353710383263784,0.726799316053691,0.982914618375091,-6.07812889593801
"ENSMUSG00000020755","ENSMUSG00000020755","Sap30bp",0.0853242869452462,6.60902466457167,0.353497833196904,0.726956492700671,0.982914618375091,-6.63623591221339
"ENSMUSG00000031093","ENSMUSG00000031093","Dock11",0.0549586214781534,6.45972323815922,0.353419067200618,0.727014741739155,0.982914618375091,-6.94213959981878
"ENSMUSG00000030847","ENSMUSG00000030847","Bag3",0.26929160214572,3.5787025997883,0.35324104045802,0.727146402297337,0.982914618375091,-5.93557017800745
"ENSMUSG00000020925","ENSMUSG00000020925","Ccdc43",-0.137791738344012,5.22960021754609,-0.353225780756967,0.727157688084749,0.982914618375091,-6.11483828036705
"ENSMUSG00000023018","ENSMUSG00000023018","Smarcd1",0.112685320285801,5.32433366214725,0.353141080726056,0.727220331779878,0.982914618375091,-6.35625041941539
"ENSMUSG00000053460","ENSMUSG00000053460","Ggcx",0.17719665222077,3.06371520826418,0.353105116443647,0.727246931361376,0.982914618375091,-5.82228977848216
"ENSMUSG00000039395","ENSMUSG00000039395","Mreg",-0.436453560562119,0.510879365198261,-0.352933982548688,0.727373508688848,0.982914618375091,-5.43278627133875
"ENSMUSG00000029089","ENSMUSG00000029089","5730480H06Rik",-0.222271463960183,2.89608152906778,-0.352872782124401,0.727418776845092,0.982914618375091,-5.67299295373807
